step,predicted_scaled,actual_scaled,residual_error,threshold,status,processing_time_ms,predicted_raw,actual_raw
112,0.2395,0.3135,0.074,0.05,ANOMALY,349.243,47.42,53.22
113,0.2388,0.2809,0.0421,0.05,NORMAL,371.684,47.36,50.66
114,0.2421,0.339,0.097,0.05,ANOMALY,384.948,47.61,55.22
115,0.2369,0.316,0.0791,0.05,ANOMALY,394.219,47.21,53.41
116,0.239,0.3452,0.1061,0.05,ANOMALY,362.159,47.38,55.7
117,0.2377,0.3371,0.0994,0.05,ANOMALY,378.51,47.27,55.07
118,0.2394,0.3975,0.1581,0.05,ANOMALY,348.165,47.41,59.81
119,0.243,0.3271,0.0841,0.05,ANOMALY,397.181,47.69,54.28
120,0.2467,0.2971,0.0504,0.05,ANOMALY,373.323,47.98,51.93
121,0.2492,0.3431,0.0939,0.05,ANOMALY,375.292,48.17,55.54
122,0.2521,0.3447,0.0926,0.05,ANOMALY,368.349,48.4,55.66
123,0.2513,0.3883,0.1369,0.05,ANOMALY,350.042,48.34,59.08
124,0.2484,0.3682,0.1198,0.05,ANOMALY,368.38,48.11,57.51
125,0.2456,0.3499,0.1043,0.05,ANOMALY,370.741,47.89,56.07
126,0.2449,0.3922,0.1474,0.05,ANOMALY,349.174,47.83,59.39
127,0.2498,0.2908,0.041,0.05,NORMAL,365.644,48.22,51.43
128,0.2495,0.3118,0.0623,0.05,ANOMALY,367.702,48.2,53.08
129,0.2495,0.3008,0.0513,0.05,ANOMALY,373.131,48.2,52.22
130,0.2536,0.3213,0.0678,0.05,ANOMALY,373.311,48.52,53.83
131,0.2485,0.2836,0.035,0.05,NORMAL,389.735,48.12,50.87
132,0.2464,0.3606,0.1141,0.05,ANOMALY,404.191,47.96,56.91
133,0.2396,0.3277,0.0881,0.05,ANOMALY,453.316,47.42,54.33
134,0.2368,0.28,0.0431,0.05,NORMAL,401.312,47.2,50.59
135,0.2318,0.2974,0.0656,0.05,ANOMALY,402.638,46.81,51.95
136,0.2365,0.3482,0.1117,0.05,ANOMALY,397.989,47.18,55.94
137,0.2408,0.3683,0.1275,0.05,ANOMALY,365.11,47.51,57.51
138,0.2446,0.4126,0.168,0.05,ANOMALY,389.911,47.82,60.99
139,0.2467,0.4477,0.2011,0.05,ANOMALY,383.686,47.97,63.74
140,0.2495,0.3521,0.1026,0.05,ANOMALY,377.62,48.2,56.24
141,0.2511,0.2984,0.0473,0.05,NORMAL,373.254,48.32,52.03
142,0.2447,0.2547,0.0099,0.05,NORMAL,371.941,47.82,48.6
143,0.2431,0.3465,0.1034,0.05,ANOMALY,363.57,47.7,55.8
144,0.2334,0.3051,0.0717,0.05,ANOMALY,362.445,46.94,52.56
145,0.2332,0.3204,0.0872,0.05,ANOMALY,371.256,46.92,53.75
146,0.2289,0.3128,0.0839,0.05,ANOMALY,381.884,46.58,53.16
147,0.2286,0.3309,0.1022,0.05,ANOMALY,439.634,46.56,54.58
148,0.2329,0.377,0.1441,0.05,ANOMALY,373.589,46.89,58.2
149,0.2366,0.3423,0.1056,0.05,ANOMALY,379.174,47.19,55.47
150,0.2438,0.5913,0.3475,0.05,ANOMALY,369.616,47.75,75.0
151,0.2441,0.6933,0.4492,0.05,ANOMALY,373.943,47.78,83.0
152,0.2445,0.7443,0.4998,0.05,ANOMALY,376.501,47.81,87.0
153,0.2389,0.6551,0.4161,0.05,ANOMALY,362.213,47.37,80.0
154,0.2394,0.5275,0.2881,0.05,ANOMALY,377.194,47.41,70.0
155,0.234,0.4039,0.1699,0.05,ANOMALY,375.233,46.98,60.3
156,0.2399,0.3412,0.1013,0.05,ANOMALY,367.91,47.45,55.39
157,0.244,0.3738,0.1299,0.05,ANOMALY,368.976,47.76,57.95
158,0.2498,0.3171,0.0673,0.05,ANOMALY,366.394,48.22,53.5
159,0.2525,0.2909,0.0385,0.05,NORMAL,376.041,48.43,51.45
160,0.2485,0.2993,0.0508,0.05,ANOMALY,367.779,48.12,52.1
161,0.2417,0.3085,0.0668,0.05,ANOMALY,386.824,47.59,52.82
162,0.235,0.4177,0.1827,0.05,ANOMALY,368.678,47.06,61.39
163,0.2267,0.3048,0.0781,0.05,ANOMALY,378.16,46.41,52.54
164,0.2229,0.3683,0.1455,0.05,ANOMALY,363.846,46.11,57.52
165,0.2233,0.3017,0.0784,0.05,ANOMALY,364.749,46.14,52.29
166,0.2252,0.3719,0.1467,0.05,ANOMALY,350.923,46.3,57.79
167,0.2341,0.351,0.1169,0.05,ANOMALY,366.165,46.99,56.15
168,0.2373,0.3303,0.0929,0.05,ANOMALY,348.473,47.24,54.53
